Sala de reunioes,_Simba-5G,-67 dBm,38:6b:1c:bc:16:4f
Sala de reunioes,LLM_H0A9_059530,-85 dBm,c8:47:8c:4b:b4:fc
Sala de reunioes,JESSICA 2.4,-77 dBm,78:e9:cf:7f:ec:7f
Sala de reunioes,Simba-5G,-48 dBm,58:d0:61:3a:ee:cc
Sala de reunioes,Felipe porto,-81 dBm,68:d4:0c:f3:af:ff
Sala de reunioes,_Simba-2.4G,-69 dBm,38:6b:1c:bc:16:4d
Sala de reunioes,_Simba-5G,-67 dBm,38:6b:1c:bc:16:4f
Sala de reunioes,LLM_H0A9_059530,-85 dBm,c8:47:8c:4b:b4:fc
Sala de reunioes,JESSICA 2.4,-77 dBm,78:e9:cf:7f:ec:7f
Sala de reunioes,Simba-5G,-48 dBm,58:d0:61:3a:ee:cc
Sala de reunioes,Felipe porto,-81 dBm,68:d4:0c:f3:af:ff
Sala de reunioes,_Simba-2.4G,-69 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-50 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-77 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-62 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-69 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-69 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-69 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-45 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-82 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-64 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-41 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-64 dBm,c8:47:8c:4b:b4:fc
Sala dos ETs,_Simba-5G,-64 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-66 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-67 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-35 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,Felipe porto,-85 dBm,68:d4:0c:f3:af:ff
Sala dos ETs,_Simba-2.4G,-60 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-77 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,_Simba-5G,-60 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-66 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-66 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-72 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-75 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,_Simba-2.4G,-58 dBm,38:6b:1c:bc:16:4d
Sala de reunioes,Simba-2.4G,-78 dBm,58:d0:61:3a:ee:c8
Sala de reunioes,LLM_H0A9_059530,-85 dBm,c8:47:8c:4b:b4:fc
Sala de reunioes,_Simba-5G,-51 dBm,38:6b:1c:bc:16:4f
Sala de reunioes,JESSICA-5G,-69 dBm,78:e9:cf:7f:ec:7e
Sala de reunioes,JESSICA 2.4,-69 dBm,66:e9:cf:7f:ec:7e
Sala de reunioes,JESSICA 2.4,-63 dBm,78:e9:cf:7f:ec:7f
Sala de reunioes,Simba-5G,-75 dBm,58:d0:61:3a:ee:cc
Sala de reunioes,_Simba-2.4G,-55 dBm,38:6b:1c:bc:16:4d
Sala dos servidores,Simba-2.4G,-45 dBm,58:d0:61:3a:ee:c8
Sala dos servidores,LLM_H0A9_059530,-89 dBm,c8:47:8c:4b:b4:fc
Sala dos servidores,JESSICA-5G,-68 dBm,78:e9:cf:7f:ec:7e
Sala dos servidores,_Simba-5G,-71 dBm,38:6b:1c:bc:16:4f
Sala dos servidores,JESSICA 2.4,-69 dBm,66:e9:cf:7f:ec:7e
Sala dos servidores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos servidores,Simba-5G,-48 dBm,58:d0:61:3a:ee:cc
Sala dos servidores,Felipe porto,-73 dBm,68:d4:0c:f3:af:ff
Sala dos servidores,_Simba-2.4G,-74 dBm,38:6b:1c:bc:16:4d
Sala dos servidores,Witallo Bruno,-89 dBm,fc:40:09:2a:b2:84
Sala dos professores,Simba-2.4G,-61 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-74 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-59 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-61 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-74 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-59 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-61 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-74 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-59 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-61 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-74 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-59 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-59 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-71 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-73 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-73 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-80 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-50 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-81 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-70 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-59 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-71 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-73 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-73 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-80 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-50 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-81 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-70 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-52 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-69 dBm,c8:47:8c:4b:b4:fc
Sala dos ETs,DARLAN-5G,-88 dBm,84:0b:bb:e3:e7:78
Sala dos ETs,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-71 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-71 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-77 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,Felipe porto,-80 dBm,68:d4:0c:f3:af:ff
Sala dos ETs,_Simba-2.4G,-64 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-52 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-69 dBm,c8:47:8c:4b:b4:fc
Sala dos ETs,DARLAN-5G,-88 dBm,84:0b:bb:e3:e7:78
Sala dos ETs,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-71 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-71 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-77 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,Felipe porto,-80 dBm,68:d4:0c:f3:af:ff
Sala dos ETs,_Simba-2.4G,-64 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-52 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-69 dBm,c8:47:8c:4b:b4:fc
Sala dos ETs,DARLAN-5G,-88 dBm,84:0b:bb:e3:e7:78
Sala dos ETs,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-71 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-71 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-77 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,Felipe porto,-80 dBm,68:d4:0c:f3:af:ff
Sala dos ETs,_Simba-2.4G,-64 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-52 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-69 dBm,c8:47:8c:4b:b4:fc
Sala dos ETs,DARLAN-5G,-88 dBm,84:0b:bb:e3:e7:78
Sala dos ETs,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-71 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-71 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-77 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,Felipe porto,-80 dBm,68:d4:0c:f3:af:ff
Sala dos ETs,_Simba-2.4G,-64 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-58 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-81 dBm,c8:47:8c:4b:b4:fc
Sala dos ETs,Santana 2.4,-89 dBm,3c:bd:69:95:e1:29
Sala dos ETs,_Simba-5G,-61 dBm,38:6b:1c:bc:16:4f
Sala dos ETs,JESSICA-5G,-69 dBm,78:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-70 dBm,66:e9:cf:7f:ec:7e
Sala dos ETs,JESSICA 2.4,-71 dBm,78:e9:cf:7f:ec:7f
Sala dos ETs,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos ETs,Felipe porto,-80 dBm,68:d4:0c:f3:af:ff
Sala dos ETs,_Simba-2.4G,-65 dBm,38:6b:1c:bc:16:4d
Sala de reunioes,Simba-2.4G,-62 dBm,58:d0:61:3a:ee:c8
Sala de reunioes,LLM_H0A9_059530,-80 dBm,c8:47:8c:4b:b4:fc
Sala de reunioes,Santana 2.4,-88 dBm,3c:bd:69:95:e1:29
Sala de reunioes,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala de reunioes,JESSICA-5G,-69 dBm,78:e9:cf:7f:ec:7e
Sala de reunioes,JESSICA 2.4,-69 dBm,66:e9:cf:7f:ec:7e
Sala de reunioes,JESSICA 2.4,-74 dBm,78:e9:cf:7f:ec:7f
Sala de reunioes,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala de reunioes,Felipe porto,-82 dBm,68:d4:0c:f3:af:ff
Sala de reunioes,_Simba-2.4G,-69 dBm,38:6b:1c:bc:16:4d
Sala de reunioes,Witallo Bruno,-88 dBm,fc:40:09:2a:b2:84
Sala dos professores,Simba-2.4G,-46 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-78 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,JESSICA-5G,-73 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,_Simba-5G,-75 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA 2.4,-73 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-71 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-66 dBm,58:d0:61:3a:ee:cc
Sala dos professores,_Simba-2.4G,-66 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-51 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-83 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-71 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA 2.4,-75 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-71 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-56 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-60 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,MEC,-81 dBm,00:04:96:6a:2f:a4
Sala dos ETs,iPhone de Lucas,-60 dBm,56:ec:e8:30:28:54
Sala dos ETs,SUPERVISAO,-87 dBm,00:04:96:68:4b:d2
Sala dos ETs,NIDA_5G,-81 dBm,78:98:e8:c3:14:3d
Sala dos ETs,NIDA,-71 dBm,78:98:e8:c3:14:3b
Sala dos ETs,NEPP,-71 dBm,90:9a:4a:be:fc:2b
Sala dos ETs,<Hidden>,-77 dBm,26:30:86:f8:b2:21
Sala dos ETs,UFMA,-70 dBm,00:04:96:6a:56:e0
Sala dos ETs,UFMA,-77 dBm,00:04:96:81:db:50
Sala dos ETs,eduroam,-70 dBm,00:04:96:6a:56:e1
Sala dos ETs,SUPERVISAO,-70 dBm,00:04:96:6a:56:e2
Sala dos ETs,SUPERVISAO,-77 dBm,00:04:96:81:db:52
Sala dos ETs,SUPERVISAO,-71 dBm,00:04:96:81:de:02
Sala dos ETs,Supervisao_2,-71 dBm,00:04:96:6a:56:e3
Sala dos ETs,eduroam,-77 dBm,00:04:96:81:db:51
Sala dos ETs,MEC,-70 dBm,00:04:96:6a:56:e4
Sala dos ETs,MEC,-77 dBm,00:04:96:81:db:54
Sala dos ETs,DEDET,-80 dBm,40:9b:cd:2a:9f:30
Sala dos ETs,Supervisao_2,-77 dBm,00:04:96:81:db:53
Sala dos ETs,Supervisao_2,-88 dBm,00:04:96:6a:4d:43
Sala dos ETs,iPhone de Lucas,-61 dBm,56:ec:e8:30:28:54
Sala dos ETs,PPGMAT-POINCARE,-75 dBm,74:fe:ce:f5:0a:07
Sala dos ETs,Telik-Trafo-23299981,-81 dBm,70:b8:f6:f1:94:79
Sala dos ETs,UFMA,-65 dBm,00:04:96:81:dc:a0
Sala dos ETs,eduroam,-77 dBm,00:04:96:81:d6:41
Sala dos ETs,eduroam,-69 dBm,00:04:96:81:dc:a1
Sala dos ETs,UFMA,-77 dBm,00:04:96:81:d6:40
Sala dos ETs,AFM,-70 dBm,90:8d:78:71:5c:8d
Sala dos ETs,MEC,-77 dBm,00:04:96:81:d6:42
Sala dos ETs,eduroam,-81 dBm,00:e6:3a:b9:92:71
Sala dos ETs,UFMA,-81 dBm,00:e6:3a:b9:92:70
Sala dos ETs,UFMA,-77 dBm,00:04:96:81:db:90
Sala dos ETs,MESTRADO-MTM,-70 dBm,f0:b4:d2:e0:d9:4e
Sala dos ETs,MEC,-77 dBm,00:04:96:81:db:92
Sala dos ETs,eduroam,-77 dBm,00:04:96:81:db:91
Sala dos ETs,eduroam,-82 dBm,00:e6:3a:79:a3:41
Sala dos ETs,MEC,-81 dBm,00:04:96:81:d8:b2
Sala dos ETs,MEC,-69 dBm,00:04:96:81:d5:f2
Sala dos ETs,eduroam,-67 dBm,00:04:96:81:d5:f1
Sala dos ETs,UFMA,-77 dBm,00:04:96:81:d8:b0
Sala dos ETs,LAB_LEVI,-46 dBm,30:16:9d:82:ee:54
Sala dos ETs,eduroam,-81 dBm,00:04:96:81:d8:b1
